Date,CERO,CLEU,HLVX,SHPW,SVMH,VRPX,ZAPP
2019-11-14,,,,77.19999694824219,,,
2019-11-15,,,,77.44000244140625,,,
2019-11-18,,,,77.36000061035156,,,
2019-11-19,,,,77.44000244140625,,,
2019-11-20,,,,77.5199966430664,,,
2019-11-21,,,,77.5199966430664,,,
2019-11-22,,,,77.36000061035156,,,
2019-11-25,,,,77.5199966430664,,,
2019-11-26,,,,77.91999816894531,,,
2019-11-27,,,,77.91999816894531,,,
2019-11-29,,,,77.91999816894531,,,
2019-12-02,,,,77.91999816894531,,,
2019-12-03,,,,77.91999816894531,,,
2019-12-04,,,,77.91999816894531,,,
2019-12-05,,,,77.91999816894531,,,
2019-12-06,,,,77.76000213623047,,,
2019-12-09,,,,77.76000213623047,,,
2019-12-10,,,,77.76000213623047,,,
2019-12-11,,,,78.16000366210938,,,
2019-12-12,,,,78.16000366210938,,,
2019-12-13,,,,78.0,,,
2019-12-16,,,,78.16000366210938,,,
2019-12-17,,,,78.4000015258789,,,
2019-12-18,,,,78.4000015258789,,,
2019-12-19,,,,78.72000122070312,,,
2019-12-20,,,,78.72000122070312,,,
2019-12-23,,,,78.72000122070312,,,
2019-12-24,,,,79.5999984741211,,,
2019-12-26,,,,79.5999984741211,,,
2019-12-27,,,,79.5999984741211,,,
2019-12-30,,,,79.5999984741211,,,
2019-12-31,,,,78.4000015258789,,,
2020-01-02,,,,78.4000015258789,,,
2020-01-03,,,,78.55999755859375,,,
2020-01-06,,,,78.63999938964844,,,
2020-01-07,,,,78.63999938964844,,,
2020-01-08,,,,78.63999938964844,,,
2020-01-09,,,,78.72000122070312,,,
2020-01-10,,,,78.80000305175781,,,
2020-01-13,,,,78.80000305175781,,,
2020-01-14,,,,78.72000122070312,,,
2020-01-15,,,,79.04000091552734,,,
2020-01-16,,,,78.87999725341797,,,
2020-01-17,,,,78.95999908447266,,,
2020-01-21,,,,79.19999694824219,,,
2020-01-22,,,,79.19999694824219,,,
2020-01-23,,,,78.87999725341797,,,
2020-01-24,,,,79.5999984741211,,,
2020-01-27,,,,80.0,,,
2020-01-28,,,,80.0,,,
2020-01-29,,,,80.0,,,
2020-01-30,,,,80.0,,,
2020-01-31,,,,80.0,,,
2020-02-03,,,,80.0,,,
2020-02-04,,,,79.68000030517578,,,
2020-02-05,,,,79.44000244140625,,,
2020-02-06,,,,79.44000244140625,,,
2020-02-07,,,,79.44000244140625,,,
2020-02-10,,,,79.5999984741211,,,
2020-02-11,,,,79.5999984741211,,,
2020-02-12,,,,79.36000061035156,,,
2020-02-13,,,,79.5199966430664,,,
2020-02-14,,,,79.91999816894531,,,
2020-02-18,,,,79.83999633789062,,,
2020-02-19,,,,80.0,,,
2020-02-20,,,,79.5999984741211,,,
2020-02-21,,,,79.5999984741211,,,
2020-02-24,,,,79.76000213623047,,,
